TXNAME	GENEID	.bam
BambuTx1	SIRV5	2.04151
BambuTx2	SIRV5	2.10566
BambuTx3	SIRV5	2.06136
BambuTx4	SIRV5	2.10512
BambuTx5	SIRV5	2.04276
BambuTx6	SIRV5	4.21634
BambuTx7	SIRV5	4.25421
BambuTx8	SIRV5	2.11188
BambuTx9	SIRV5	2.0664
BambuTx10	SIRV5	2.07691
BambuTx11	SIRV5	2.0843
BambuTx12	SIRV5	2.02103
BambuTx13	SIRV5	2.05885
BambuTx14	SIRV5	2.04015
BambuTx15	SIRV5	2.04007
BambuTx16	SIRV5	2.04007
BambuTx17	SIRV5	2.04276
BambuTx18	SIRV5	2.0843
BambuTx19	SIRV5	2.0843
BambuTx20	SIRV5	2.09023
BambuTx21	SIRV5	2.09023
BambuTx22	SIRV5	2.05468
BambuTx23	SIRV5	2.00651
BambuTx24	SIRV5	2.04007
BambuTx25	SIRV5	2.00651
BambuTx26	SIRV5	2.00651
BambuTx27	SIRV5	2.00651
BambuTx28	SIRV5	2.04276
BambuTx29	SIRV5	2.0843
BambuTx30	SIRV5	2.04276
BambuTx31	SIRV5	0.00002
SIRV501	SIRV5	193.71774
SIRV502	SIRV5	189.38873
SIRV503	SIRV5	0
SIRV504	SIRV5	0
SIRV505	SIRV5	156.77604
SIRV506	SIRV5	0
SIRV507	SIRV5	0
SIRV508	SIRV5	141.32591
SIRV509	SIRV5	0
SIRV510	SIRV5	233.74244
SIRV511	SIRV5	0
SIRV512	SIRV5	0
