TXNAME	GENEID	.bam
BambuTx1	SIRV5	2081.05234
BambuTx2	SIRV5	2146.44659
BambuTx3	SIRV5	2101.28217
BambuTx4	SIRV5	2145.89639
BambuTx5	SIRV5	2082.32646
BambuTx6	SIRV5	4298.00706
BambuTx7	SIRV5	4336.61053
BambuTx8	SIRV5	2152.78441
BambuTx9	SIRV5	2106.42409
BambuTx10	SIRV5	2117.13083
BambuTx11	SIRV5	2124.67136
BambuTx12	SIRV5	2060.17763
BambuTx13	SIRV5	2098.72235
BambuTx14	SIRV5	2079.66759
BambuTx15	SIRV5	2079.58154
BambuTx16	SIRV5	2079.58154
BambuTx17	SIRV5	2082.32646
BambuTx18	SIRV5	2124.67136
BambuTx19	SIRV5	2124.67136
BambuTx20	SIRV5	2130.71391
BambuTx21	SIRV5	2130.71391
BambuTx22	SIRV5	2094.47557
BambuTx23	SIRV5	2045.37657
BambuTx24	SIRV5	2079.58154
BambuTx25	SIRV5	2045.37657
BambuTx26	SIRV5	2045.37657
BambuTx27	SIRV5	2045.37657
BambuTx28	SIRV5	2082.32646
BambuTx29	SIRV5	2124.67136
BambuTx30	SIRV5	2082.32646
BambuTx31	SIRV5	0.02046
SIRV501	SIRV5	197469.66715
SIRV502	SIRV5	193056.81188
SIRV503	SIRV5	0
SIRV504	SIRV5	0
SIRV505	SIRV5	159812.48133
SIRV506	SIRV5	0
SIRV507	SIRV5	0
SIRV508	SIRV5	144063.10598
SIRV509	SIRV5	0
SIRV510	SIRV5	238269.56565
SIRV511	SIRV5	0
SIRV512	SIRV5	0
